,0
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_low beta,0.0006532638222507673
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_low beta,0.0011574235890650098
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high beta,0.0017640931464892368
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high beta,0.0035786735964976712
coh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high gamma,0.004919252581531818
coh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high gamma,0.008393099550338007
coh_ECOG_RIGHT_to_ECOG_LEFT_max_allfbands_high gamma,0.0033880319314782362
icoh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_low beta,0.0029953019088753445
icoh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_low beta,0.0033056361862505612
icoh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high beta,-0.0023666446957513894
icoh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high beta,-0.0008000710358579865
icoh_ECOG_RIGHT_to_ECOG_LEFT_mean_fband_high gamma,-0.000776705501537805
icoh_ECOG_RIGHT_to_ECOG_LEFT_max_fband_high gamma,0.010126401098319143
icoh_ECOG_RIGHT_to_ECOG_LEFT_max_allfbands_high gamma,0.002000948806030492
