,0,1,2,3,4,5,6,7,8,9,10
ECOG_RIGHT_bandpass_activity_low gamma,-0.1115453572300702,-0.1005185258184006,-0.006475690715747828,-0.18879302432034029,-0.09642384985382713,-0.05316539117846392,-0.08382997322661967,-0.024329973511901526,-0.05701353825879363,-0.07453852546901696,-0.05297341197071187
ECOG_RIGHT_bandpass_activity_high gamma,-0.11080936320422141,-0.09978636864793944,-0.02476297878868805,-0.17435152123700282,-0.10219873230621784,-0.04899838933530115,-0.08207675616331417,-0.02518810338469979,-0.05640664291839692,-0.07459335286795066,-0.05662313606250696
ECOG_RIGHT_bandpass_activity_HFA,-0.10958386908137785,-0.10020106916127375,-0.020388554894364863,-0.17539443028410107,-0.09600983308892819,-0.05164662834590694,-0.08585126598852466,-0.019366150063110876,-0.054717210208219735,-0.07296778973477758,-0.055706867496245316
ECOG_LEFT_stft_low beta,-0.0983914933987814,-0.10023943408758323,-0.017760474173696195,-0.17756459044335293,-0.09203326863912237,-0.04642237246733988,-0.0838776590399839,-0.013225227655624394,-0.05015910508095889,-0.06931709117498608,-0.06171644280889482
ECOG_LEFT_stft_high beta,-0.17239319754760557,-0.1341085017562651,-0.01343724292415216,-0.15806383789539158,-0.10536340742788308,-0.06571087615009363,-0.11063280685626303,-0.014093589726446087,-0.055945378338233764,-0.09795587705288639,-0.0682925005607386
ECOG_LEFT_stft_low gamma,-0.1711685819490129,-0.12207284172433897,-0.02624278010951364,-0.15611154519381532,-0.10831991702547672,-0.06000440772767468,-0.10671040230583512,-0.014321242154627267,-0.05112958370836307,-0.0959247383616253,-0.0661267017355383
ECOG_LEFT_stft_high gamma,-0.17495249913354521,-0.13583833527435357,-0.03894658919830485,-0.17272074444593744,-0.11122057024847187,-0.07131063877397248,-0.11147894660987456,-0.005915254804922165,-0.04592553072591943,-0.10060987116077352,-0.06826321446451239
ECOG_LEFT_stft_HFA,-0.18721373665976665,-0.15391461553272046,-0.0531000512714343,-0.1620689753934219,-0.11101384774906714,-0.06690906319258022,-0.10561498517294748,-0.02250635698260245,-0.04915814594646706,-0.11167640579716565,-0.07466689508028224
ECOG_RIGHT_stft_low beta,-0.17623784110850693,-0.14665832938957896,-0.06597266423661158,-0.16813696216834617,-0.11226099631076869,-0.05832439630337827,-0.10378704663322813,-0.01541527726580505,-0.05061031698222884,-0.10828486734219966,-0.07118253032811445
ECOG_RIGHT_stft_high beta,-0.1944625248909953,-0.15989034312132433,-0.05537665535340114,-0.1446114466075359,-0.11432829178093667,-0.06316530702580986,-0.11232513675486883,-0.028101976326527445,-0.05235912642239415,-0.10886223844890147,-0.08186744432876042
