,0
left_crest_angle_mean,0.02219870224688986
left_hip_angle_mean,-0.002753731655704482
left_knee_angle_mean,0.004524490318180131
left_ankle_angle_mean,-0.004116870150028424
right_crest_angle_mean,0.0014757579353672603
right_hip_angle_mean,-0.006316202334582865
right_knee_angle_mean,-0.012684635982792706
right_ankle_angle_mean,-0.005092488089701349
trunk_cross_l_angle_mean,-0.0020950128351370427
trunk_cross_r_angle_mean,-0.0003284123984616527
left_crest_angular_velocity_mean,0.005679995148506024
left_hip_angular_velocity_mean,0.000686564518345882
left_knee_angular_velocity_mean,0.00889319839798937
left_ankle_angular_velocity_mean,0.0004198120899857908
right_crest_angular_velocity_mean,0.00018178357515048887
right_hip_angular_velocity_mean,-0.0007511361016888147
right_knee_angular_velocity_mean,0.010083962171910755
right_ankle_angular_velocity_mean,0.0024383783342696004
trunk_cross_l_angular_velocity_mean,0.009419867659290442
trunk_cross_r_angular_velocity_mean,0.0047579112095265715
lmtp_speed_mean,-2.208823654067685e-05
lankle_speed_mean,0.0035936989759773885
lknee_speed_mean,0.021248476898851402
lhip_speed_mean,-0.010584065919850404
lcrest_speed_mean,-0.0058332436620372515
lshoulder_speed_mean,0.018513521050281364
rmtp_speed_mean,0.004941610281314477
rankle_speed_mean,-0.0030121997172647104
rknee_speed_mean,0.03171590929517633
rhip_speed_mean,-0.009736983341373134
rcrest_speed_mean,0.023665047492001278
rshoulder_speed_mean,0.021814356878724496
lmtp_height,0.003240867713167521
lmtp_fwd_move,0.016001951558425744
rmtp_height,-0.014593041549702231
rmtp_fwd_move,0.010721944594706968
