"contrast","estimate","SE","df","z.ratio","p.value"
"event_fog - event_gait",2.47692057565328,0.495371532557108,Inf,5.00012700137897,1.71383305436201e-06
"event_fog - event_nlm",2.07345088519496,0.472716850178894,Inf,4.38624280985602,3.43088121003143e-05
"event_gait - event_nlm",-0.403469690458317,0.456429037039546,Inf,-0.883970251049911,0.650440292030965
