"","contrast","estimate","SE","df","t.ratio","p.value"
"1","event_fog - event_gait",1.75878122527108,0.341227347161067,286.839706674816,5.15427980759379,1.41943790665788e-06
"2","event_fog - event_nlm",1.36316388644985,0.334824949143021,279.576914435225,4.07127333234529,0.000179620501374989
"3","event_gait - event_nlm",-0.395617338821235,0.24510324830452,283.769756641906,-1.61408443812101,0.241330006297809
