"effect","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high"
"fixed","(Intercept)",6.05733126146292,0.5196392663199,11.6568005038594,25.3925299518688,1.08720198168769e-11,4.98795240519687,7.12671011772897
"fixed","event_typeevent_gait",-1.75878122527108,0.341227347161067,-5.15427980759379,286.839706674816,4.74829719088864e-07,-2.43040835630341,-1.08715409423876
"fixed","event_typeevent_nlm",-1.36316388644985,0.334824949143021,-4.07127333234529,279.576914435225,6.09185210192673e-05,-2.02226192065474,-0.704065852244954
