"effect","term","estimate","std.error","statistic","conf.low","conf.high"
"fixed","(Intercept)",7.66869546655395,0.820234749706016,9.34939109724688,6.06106489826194,9.27632603484597
"fixed","event_typeevent_gait",-2.47692057565328,0.495371532557108,-5.00012700137897,-3.44783093843162,-1.50601021287493
"fixed","event_typeevent_nlm",-2.07345088519496,0.472716850178894,-4.38624280985602,-2.99995888643081,-1.14694288395911
